scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-19,051910,LG화학,KOSPI,263795,480311,576195,691181,8912226,115306,3316639,13.7,14.63,1497.4
2026-02-09,105560,KB금융,KOSPI,710626,688448,300921,794261,3657144,375845,1229419,14.5,-1.74,1489.2
2026-02-14,012330,현대모비스,KOSPI,114879,522407,158529,410120,2414808,579057,3895058,2.4,19.77,1487.4
2026-02-15,005490,POSCO홀딩스,KOSPI,520735,295369,609951,300786,6192009,541798,4255051,10.1,28.15,1478.2
2026-02-03,005380,현대차,KOSPI,103266,146781,715095,494151,5641923,96228,1059486,9.3,-0.42,1471.7
2026-02-12,051910,LG화학,KOSPI,406331,418074,56402,240217,3403361,643830,7724045,3.1,20.93,1460.5
2026-02-10,006400,삼성SDI,KOSPI,187795,144511,359445,392589,7970985,234171,4368777,4.6,13.88,1460.1
2026-02-17,000270,기아,KOSPI,178594,192321,127649,524001,3896693,798022,8467726,24.9,23.37,1454.6
2026-02-10,035420,NAVER,KOSPI,351603,760526,623149,215649,2239197,513187,6797629,24.7,5.47,1446.8
2026-02-05,012330,현대모비스,KOSPI,686130,736508,387902,537575,8411939,513638,4585314,13.5,22.78,1443.8
2026-02-23,006400,삼성SDI,KOSPI,247303,666126,754066,635997,4640933,552681,4504577,21.9,6.65,1439.8
2026-02-06,207940,삼성바이오로직스,KOSPI,447542,341773,492042,314525,2374158,543152,1325197,19.1,-3.18,1432.7
2026-02-11,005380,현대차,KOSPI,768987,435178,620913,726149,7017548,113491,7679674,8.0,28.89,1428.6
2026-02-22,105560,KB금융,KOSPI,298411,366422,200219,742282,9745141,281780,7938388,8.6,-2.87,1427.9
2026-02-13,000660,SK하이닉스,KOSPI,793963,721237,487983,353578,2932288,474707,1349914,24.2,1.02,1426.7
2026-02-11,051910,LG화학,KOSPI,755000,324896,662955,449534,7232293,163609,4922880,12.6,16.68,1420.4
2026-02-25,000660,SK하이닉스,KOSPI,211712,448458,796247,714693,3588336,458548,6312979,10.0,-1.8,1420.1
2026-02-19,055550,신한지주,KOSPI,763813,724558,776991,327203,9123194,251603,5135904,8.1,5.45,1418.1
2026-02-21,005490,POSCO홀딩스,KOSPI,371709,217475,475110,769400,9430894,787733,6217344,17.7,17.35,1416.9
2026-02-03,055550,신한지주,KOSPI,379445,300280,328517,465011,3195773,754318,6033115,12.2,27.52,1410.0
2026-02-03,105560,KB금융,KOSPI,559231,554740,274130,470521,1983738,222634,7358113,1.6,8.66,1397.1
2026-02-04,035720,카카오,KOSPI,586265,171263,453906,654596,4188992,317095,1744682,18.2,-4.94,1395.8
2026-02-02,028260,삼성물산,KOSPI,250896,249448,612336,520405,3351868,492374,4078418,8.0,3.74,1392.6
2026-02-23,035720,카카오,KOSPI,486740,634357,605736,190606,7516590,304655,5278117,6.3,17.63,1391.1
2026-02-05,005380,현대차,KOSPI,55814,161764,495798,279471,3950888,779716,9689889,12.4,14.51,1384.5
2026-02-07,105560,KB금융,KOSPI,327405,705420,668439,743300,4318855,495790,2925626,14.3,17.67,1371.8
2026-02-03,006400,삼성SDI,KOSPI,335577,345442,684210,270861,6752576,263487,5428914,13.4,3.79,1371.4
2026-02-17,006400,삼성SDI,KOSPI,593269,210448,368897,222655,3717354,388334,4782763,9.6,27.93,1352.9
2026-02-16,005380,현대차,KOSPI,100126,737584,398048,336488,3088344,435896,8330827,22.4,21.02,1352.5
2026-02-17,000660,SK하이닉스,KOSPI,722612,654788,327511,732759,4536777,649929,7989166,16.0,-3.94,1344.6
2026-02-01,055550,신한지주,KOSPI,83659,380776,470651,330746,2110460,271231,6279418,6.5,12.47,1338.6
2026-02-18,005380,현대차,KOSPI,102995,345023,568934,676543,8895137,349628,1137194,21.4,10.08,1335.4
2026-02-20,005380,현대차,KOSPI,112036,143806,733984,652022,4896008,611147,1625760,23.0,1.13,1335.1
2026-02-06,005490,POSCO홀딩스,KOSPI,614315,556983,537455,506732,5502929,387960,5118725,21.0,-1.97,1334.3
2026-02-09,207940,삼성바이오로직스,KOSPI,545158,305570,528975,628043,3426689,452219,4197911,23.2,12.79,1331.1
2026-02-04,055550,신한지주,KOSPI,122792,342683,418203,722642,9546409,469093,9996207,9.3,-4.03,1327.9
2026-02-23,000270,기아,KOSPI,439102,146955,611654,249734,1864641,331502,7327828,17.3,16.1,1323.1
