scan_date,symbol,name,market,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
2026-02-25,000660,SK하이닉스,KOSPI,211712,448458,796247,714693,3588336,458548,6312979,10.0,-1.8,1420.1
2026-02-25,006400,삼성SDI,KOSPI,700318,448343,395549,511607,6615941,501533,3283789,8.6,16.11,1073.4
2026-02-25,055550,신한지주,KOSPI,772794,132237,575119,412659,1900876,152430,8333124,7.0,-2.34,947.2
2026-02-25,068270,셀트리온,KOSPI,516339,427400,332870,157197,3223098,141537,4143912,11.6,14.49,817.4
2026-02-25,207940,삼성바이오로직스,KOSPI,158310,77537,143972,421106,2561359,675920,6443037,21.8,-4.57,679.3
2026-02-25,005490,POSCO홀딩스,KOSPI,308568,705395,569886,672651,4280754,530102,2794698,4.7,-4.76,654.0
2026-02-25,012330,현대모비스,KOSPI,552278,379445,236266,467584,6354241,355605,9237735,24.2,22.37,556.2
2026-02-25,035720,카카오,KOSPI,138813,636716,304533,649743,9742683,227820,7387623,5.5,4.41,475.8
2026-02-25,005380,현대차,KOSPI,203023,116340,225329,505791,5629871,491557,6029008,12.9,-2.31,452.4
2026-02-25,035420,NAVER,KOSPI,693684,674540,465973,392230,1497036,714926,5585666,19.9,10.77,419.4
2026-02-25,051910,LG화학,KOSPI,629902,443663,502825,244760,7376562,139856,5955645,20.3,19.96,214.9
