symbol,name,market,date,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score
065440,이루온,KOSDAQ,2026-03-12,2195.0,1894.0,2195.0,1890.0,10543187,1690.0,369211,28.55598212567524,29.88165680473373,1437.5624198932296
073540,에프알텍,KOSDAQ,2026-03-12,2715.0,2135.0,2715.0,2070.0,1444081,2295.0,51370,28.111231695387893,29.904306220095695,1415.370197209586
047400,유니온머티리얼,KOSPI,2026-03-12,1646.0,1602.0,1917.0,1550.0,14365280,1611.0,525320,27.345749375048065,11.593220338983052,1340.4739094303695
072130,유엔젤,KOSPI,2026-03-12,5210.0,4860.0,5880.0,4825.0,2102439,4935.0,89068,23.604636410688805,6.109979633401222,1142.4517798012425
078070,유비쿼스홀딩스,KOSDAQ,2026-03-12,14480.0,13500.0,15270.0,13060.0,1877457,13200.0,87782,21.387587852027536,14.829500396510706,1049.0383933943983
007120,미래아이앤지,KOSPI,2026-03-12,1755.0,1423.0,1849.0,1423.0,7531808,1442.0,362693,20.766339365154728,23.33099086437105,1034.9789499864785
179530,애드바이오텍,KOSDAQ,2026-03-12,1920.0,1477.0,1920.0,1460.0,1789095,1805.0,107249,16.681655116469347,29.993229519295873,844.0692148620591
100590,머큐리,KOSDAQ,2026-03-12,4660.0,4260.0,5380.0,4075.0,9123189,4650.0,530959,17.18246389130014,12.560386473429952,834.243967511867
035460,기산텔레콤,KOSDAQ,2026-03-12,2690.0,2660.0,2830.0,2450.0,4156503,2630.0,271196,15.32655324816498,2.2813688212927756,720.8904000508346
380540,옵티코어,KOSDAQ,2026-03-12,5020.0,4230.0,5250.0,4110.0,34426153,4970.0,3056564,11.263020642274283,24.103831891223734,561.3586958961616
088800,에이스테크,KOSDAQ,2026-03-12,3490.0,3170.0,4000.0,2915.0,6572281,3395.0,578822,11.354570701726349,10.443037974683545,538.6146110356846
050890,쏠리드,KOSDAQ,2026-03-12,12400.0,12190.0,13410.0,11750.0,39218266,11710.0,4000646,9.802982950641612,5.892399658411613,451.9339468489038
452280,한선엔지니어링,KOSDAQ,2026-03-12,14230.0,11900.0,14230.0,11510.0,2457311,11400.0,293856,8.362295076109545,29.954337899543376,428.02342960456394
261780,차백신연구소,KOSDAQ,2026-03-12,3205.0,2960.0,3290.0,2950.0,1172657,2970.0,129347,9.065946023674993,8.277027027027026,419.8513552378037
486990,노타,KOSDAQ,2026-03-12,44450.0,39200.0,45100.0,38400.0,2950108,41150.0,347270,8.495131100270697,19.168900804289542,413.09435662211393
230240,에치에프알,KOSDAQ,2026-03-12,27600.0,24050.0,27600.0,23950.0,2545370,21250.0,321808,7.90957607882821,29.88235294117647,405.2435098237634
056360,코위버,KOSDAQ,2026-03-12,6330.0,6040.0,6660.0,5880.0,1077239,6320.0,148659,7.246373496938128,4.801324503311259,321.9213238535289
005010,휴스틸,KOSPI,2026-03-12,4960.0,4655.0,5100.0,4620.0,4569884,4800.0,700634,6.5224958671375255,7.592190889370933,291.30917513561815
360350,코셈,KOSDAQ,2026-03-12,13000.0,11500.0,13440.0,11440.0,721066,11840.0,120800,5.969067168210052,9.797297297297296,268.0479530050972
032500,케이엠더블유,KOSDAQ,2026-03-12,26150.0,25100.0,27600.0,24000.0,2817969,24700.0,471458,5.9771362478591685,5.870445344129554,260.59770308121756
048910,대원미디어,KOSDAQ,2026-03-12,9150.0,8690.0,9640.0,8510.0,634946,8840.0,107163,5.925004525782027,6.519208381839348,259.28864305278006
475150,이터닉스,KOSPI,2026-03-12,37350.0,28750.0,37350.0,28400.0,11845453,34150.0,2438677,4.8573259657343835,29.91304347826087,252.69238524324092
046120,오르비텍,KOSDAQ,2026-03-12,8160.0,6470.0,8160.0,6350.0,22800474,7600.0,4797540,4.752534374361294,29.936305732484076,247.49933018303284
322000,현대에너지솔루션,KOSPI,2026-03-12,130700.0,103200.0,135300.0,103200.0,8025062,127100.0,1866942,4.298504485515036,24.476190476190478,213.87760522813275
033160,엠케이전자,KOSDAQ,2026-03-12,13450.0,12890.0,13950.0,12560.0,3160332,13330.0,627411,5.037099681301437,4.344453064391001,210.54389019385385
023160,태광,KOSDAQ,2026-03-12,32200.0,28350.0,33500.0,28250.0,1522025,31600.0,336894,4.517806976157086,13.780918727915195,203.4521862636847
336260,두산퓨얼셀,KOSPI,2026-03-12,46250.0,40450.0,47700.0,40200.0,3652651,44000.0,802452,4.5518594558556424,12.530413625304138,202.6538000433904
388790,라이콤,KOSDAQ,2026-03-12,4900.0,4440.0,5270.0,4375.0,8567007,4760.0,1884250,4.546638980681205,11.490329920364049,200.31260887478837
368770,파이버프로,KOSDAQ,2026-03-12,18780.0,16730.0,19030.0,15880.0,3854935,17300.0,953554,4.042698537860798,13.474320241691842,179.0835673764236
357580,아모센스,KOSDAQ,2026-03-12,24050.0,20500.0,24600.0,18820.0,1681227,20050.0,447091,3.7603657507576473,19.950124688279303,177.91853691444098
010170,대한광통신,KOSDAQ,2026-03-12,7670.0,7370.0,8900.0,7200.0,100888769,7160.0,24034072,4.197739178022295,7.12290502793296,174.13276895698067
024850,이노베이션,KOSDAQ,2026-03-12,3485.0,3100.0,3600.0,3050.0,4944995,3300.0,1286002,3.8452453959166255,12.419354838709678,167.10097947325065
129920,대성하이텍,KOSDAQ,2026-03-12,9650.0,7950.0,10070.0,7900.0,1734851,8420.0,591493,2.9329987229793306,21.843434343434343,140.3368048358352
232830,아이티센피엔에스,KOSDAQ,2026-03-12,3105.0,2800.0,3160.0,2720.0,441876,2980.0,137713,3.2086672851014697,10.892857142857142,132.21907854078776
010140,삼성중공업,KOSPI,2026-03-12,30850.0,28900.0,30950.0,28700.0,16039870,29850.0,5206584,3.080689432000101,7.118055555555555,118.27058271111616
010060,홀딩스,KOSPI,2026-03-12,165800.0,147600.0,171700.0,146700.0,635702,163300.0,247820,2.5651685744635992,13.01976823449216,104.29796519216428
019540,일지테크,KOSDAQ,2026-03-12,6340.0,6340.0,6340.0,6340.0,540324,5750.0,336538,1.6055354191589544,29.918032786885245,90.11283653171822
082920,비츠로셀,KOSDAQ,2026-03-12,23500.0,22050.0,24000.0,21750.0,831727,23100.0,331116,2.5118840240060307,6.334841628959276,88.26388445822009
468530,프로티나,KOSDAQ,2026-03-12,84300.0,78200.0,86000.0,77800.0,398296,83900.0,173943,2.289797049391815,7.8005115089514065,80.09087548749358
476830,알지노믹스,KOSDAQ,2026-03-12,179600.0,165400.0,182200.0,163800.0,666662,177500.0,304751,2.1875561419705436,7.673860911270983,74.72552892106914
479080,머니마켓액티브,KOSPI,2026-03-12,52945.0,52945.0,52945.0,52940.0,219052,52940.0,93974,2.330975244321858,0.018891092849721354,66.58654440179234
217730,강스템바이오텍,KOSDAQ,2026-03-12,2645.0,2525.0,2750.0,2480.0,1870433,2585.0,961682,1.9449598752519088,3.7254901960784315,54.69897415475231
376900,로킷헬스케어,KOSDAQ,2026-03-12,102100.0,96400.0,106400.0,96100.0,876179,98900.0,570287,1.5363818847431712,5.257731958762887,37.33455815468433
