Price,Close,High,Low,Open,Volume
Ticker,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS
Date,,,,,
2025-08-26,260455.34375,261451.34888862332,255973.32062619503,258463.33347275335,2050625
2025-08-27,258961.34375,259957.34891826924,254977.3230769231,257965.3385817308,2801594
2025-08-28,267813.65625,267813.65625,252353.2775837989,253350.72136871508,3836024
2025-08-29,268312.375,269309.8187732342,265320.0436802974,267314.9312267658,1892127
2025-09-01,255345.609375,260332.82830810547,254348.1655883789,258836.66262817383,1837054
2025-09-02,259834.109375,260831.55317298463,255345.6122840691,255345.6122840691,1584710
2025-09-03,261829.0,264821.33142857143,257091.1419047619,258836.66857142857,2437896
2025-09-04,264821.34375,270307.2849576271,263823.8998940678,266317.5095338983,2189959
2025-09-05,272800.875,274297.04067641683,271304.70932358317,272302.15310786106,3103427
2025-09-08,276291.9375,278286.8251353791,273299.6060469314,277788.1032265343,2018299
2025-09-09,287263.84375,287762.5657009549,276291.96082899306,277289.40473090275,4158342
2025-09-10,303222.9375,304220.3813733553,292251.05489309214,293747.220703125,5265553
2025-09-11,306215.25,314194.80048859934,304719.08428338764,309207.5814332247,5148088
2025-09-12,327660.3125,328657.7563736682,318184.5957001522,321176.9273211568,4242516
2025-09-15,330153.90625,340627.06641805137,324169.2432968278,338632.178766994,4221256
2025-09-16,347110.4375,353095.1002155172,330652.6150323276,330652.6150323276,5841135
2025-09-17,332647.5,341624.4940029985,332647.5,340128.3283358321,4498866
2025-09-18,354591.25,356087.41561181436,335639.8189170183,337634.70639943745,4526286
2025-09-22,350102.75,358082.29985754983,344367.44853988604,348107.86253561254,4377563
2025-09-23,360077.21875,362072.10638850415,352097.6681959834,354591.2777441136,3315336
2025-09-24,356586.15625,363069.5409090909,347609.1621066433,358082.3219405594,4165199
2025-09-25,355588.71875,358082.3282784011,348606.61207047687,351100.221598878,2148215
2025-09-26,335639.84375,348107.89143759286,332148.790397474,346611.72571508173,3685324
2025-09-29,348107.875,350102.76253581664,338133.4373209169,338632.15920487104,2275986
2025-09-30,346611.71875,355588.7129046763,346611.71875,352097.65962230216,2238614
2025-10-01,359079.78125,361074.6689236111,350102.78671875,350102.78671875,2802437
2025-10-02,394489.03125,403466.02564001264,383018.4273072061,387506.9245022124,7430763
2025-10-10,426905.9375,438127.1800160631,415435.3340391355,424911.0499415888,6835852
2025-10-13,413939.15625,414437.878125,401969.83125,404463.440625,4356534
2025-10-14,410448.125,435384.2200789794,405460.90598420415,423913.61634264886,4101275
2025-10-15,421420.0,422916.1656804734,405959.62130177516,409450.674556213,2688019
2025-10-16,451343.3125,453836.921961326,419425.1113950276,419923.8332872928,4247934
2025-10-17,464310.09375,473785.8099489796,448350.99278329755,450345.8804041353,4541583
2025-10-20,484258.96875,484258.96875,464310.0925914006,476279.4182865603,3333903
2025-10-21,477775.5625,500716.7690501044,476778.118736952,495729.5502348643,4126858
2025-10-22,480269.1875,480767.90939771547,467801.1400571132,473785.80282969883,3870276
2025-10-23,477276.875,487251.3133490073,466803.7147335423,468798.6024033438,3583993
2025-10-24,508696.34375,511688.6751838235,490243.63324142154,491739.7989583333,4254202
2025-10-27,533632.4375,535627.3251168224,521663.11179906543,531637.5498831775,3381231
2025-10-28,519668.21875,525652.8815379079,507698.89317418425,519668.21875,5659008
2025-10-29,556573.625,557571.0687724014,521663.0929659498,536624.7495519713,4803031
2025-10-30,566548.0625,577519.9439920775,550588.9621478873,556573.6247799296,4888461
2025-10-31,557571.125,564553.2321109123,550589.0178890877,555576.2372540251,3351809
2025-11-03,618415.1875,622404.9629032258,553581.3371975806,555576.2248991935,5787058
2025-11-04,584502.0625,612430.4886945393,581509.7311220136,609438.1573165529,5969769
2025-11-05,577519.9375,585499.4875863558,530640.0807426597,561560.8373272885,8976222
2025-11-06,591484.1875,605448.4010328837,581509.7492622259,600461.1819139966,5321244
2025-11-07,578517.4375,597468.8707974138,563555.7796336206,575525.1059267242,4789397
2025-11-10,604450.9375,613427.9316212871,579514.8427186469,582507.1740924092,4893645
2025-11-11,617417.6875,644348.6690226172,602456.0310985461,620410.0187802908,5508697
2025-11-12,615422.8125,618415.143841167,599463.7120137764,603453.4871353323,2831484
2025-11-13,610435.625,620410.0633169934,605448.4058415033,605448.4058415033,3875541
2025-11-14,558568.5,583504.59375,558568.5,577519.93125,5778374
2025-11-17,604450.9375,604450.9375,582507.1740924092,586496.9492574257,4470947
2025-11-18,568542.9375,589489.25625,568542.9375,581509.7062499999,3544391
2025-11-19,560563.4375,568542.9882117438,544604.3360765125,561560.8813389679,4529736
2025-11-20,569540.4375,595473.977561296,568542.9936514887,593479.0898642732,4670237
2025-11-21,519668.21875,529642.6567298464,512686.1121641075,516675.88735604606,6646712
2025-11-24,518670.78125,540614.5450721154,515678.4498197115,529642.6631610576,6399162
2025-11-25,517673.34375,548594.1022398844,516675.8999277457,544604.3269508671,3716730
2025-11-26,522660.5625,526650.3377862596,499719.3546040077,511688.6804627863,5127393
2025-11-27,542998.0625,554975.9609375,532018.322265625,534014.638671875,3654092
