종목코드,종목명,시장,현재가,거래대금(억),총점,추세점수,모멘텀점수,거래량점수,RSI,거래량비율,추천등급
486450,미국AI전력인프라,KOSPI,21430.0,129.0,100,40,30,30,53.3,2.5,A
261240,미국달러선물,KOSPI,15190.0,62.4,100,40,30,30,64.4,2.8,A
002100,경농,KOSPI,9750.0,146.4,100,40,30,30,51.0,3.5,A
001130,대한제분,KOSPI,150800.0,28.2,85,40,15,30,44.1,3.1,A
453630,미국S,KOSPI,13285.0,10.4,85,40,15,30,47.7,2.0,A
496020,전단채플러스액티브,KOSPI,51635.0,18.5,85,40,15,30,100.0,7.5,A
003925,남양유업우,KOSPI,40150.0,18.4,80,20,30,30,61.8,5.3,A
415640,발해인프라,KOSPI,10030.0,15.9,80,40,30,10,51.0,1.0,A
019180,티에이치엔,KOSPI,8760.0,155.1,80,20,30,30,56.8,3.2,A
025860,남해화학,KOSPI,9050.0,1345.2,80,20,30,30,66.0,5.2,A
465580,미국빅테크TOP7,KOSPI,22045.0,542.2,80,20,30,30,63.7,2.1,A
475150,이터닉스,KOSPI,39350.0,4543.4,80,20,30,30,66.3,3.3,A
006880,신송홀딩스,KOSPI,7010.0,33.0,80,40,30,10,51.9,1.5,A
003280,흥아해운,KOSPI,2400.0,2890.0,80,20,30,30,59.7,2.5,A
001550,조비,KOSPI,17450.0,719.4,80,20,30,30,59.9,4.5,A
489250,미국배당다우존스,KOSPI,12525.0,52.6,80,40,30,10,52.3,1.0,A
008350,남선알미늄,KOSPI,1513.0,1285.0,80,20,30,30,64.8,4.3,A
006110,삼아알미늄,KOSPI,33350.0,194.7,80,20,30,30,53.1,3.3,A
497570,미국필라델피아AI반도체나스닥,KOSPI,16825.0,370.3,75,40,15,20,47.5,1.8,B
446720,미국배당다우존스,KOSPI,13355.0,56.1,70,40,30,0,50.9,0.8,B
438100,미국나스닥100미국채혼합50액티브,KOSPI,14865.0,34.3,70,40,30,0,69.7,0.5,B
442320,글로벌원자력,KOSPI,44675.0,53.4,70,40,30,0,53.7,0.6,B
433500,원자력TOP10,KOSPI,69565.0,354.1,70,20,30,20,57.6,1.6,B
402970,미국배당다우존스,KOSPI,14790.0,57.0,70,40,30,0,52.8,0.7,B
441640,미국배당커버드콜액티브,KOSPI,12835.0,109.9,70,40,30,0,51.6,0.5,B
010660,화천기계,KOSPI,5900.0,12.5,70,40,30,0,50.6,0.3,B
367770,수소경제테마,KOSPI,24855.0,20.1,70,40,30,0,50.7,0.4,B
097230,중공업,KOSPI,26850.0,986.4,70,20,30,20,50.0,1.8,B
433330,미국S,KOSPI,20700.0,11.3,70,40,30,0,52.0,0.4,B
458730,미국배당다우존스,KOSPI,14600.0,210.5,70,40,30,0,52.1,0.6,B
455030,미국달러SOFR금리액티브,KOSPI,12820.0,19.0,70,40,30,0,64.5,0.8,B
456610,미국달러SOFR금리액티브,KOSPI,63660.0,16.1,70,40,30,0,64.8,0.6,B
426030,미국나스닥100액티브,KOSPI,37565.0,182.1,70,40,30,0,51.4,0.9,B
409810,미국나스닥100선물인버스,KOSPI,6655.0,14.2,70,40,30,0,55.7,0.8,B
456600,글로벌AI인공지능액티브,KOSPI,41170.0,154.3,70,40,30,0,50.8,0.9,B
438080,미국S,KOSPI,14060.0,49.6,70,40,30,0,64.6,0.5,B
009420,한올바이오파마,KOSPI,56600.0,160.2,70,40,30,0,51.9,0.6,B
490490,미국배당미국채혼합50,KOSPI,11485.0,28.0,70,40,30,0,54.8,0.5,B
160580,구리실물,KOSPI,15765.0,31.1,70,40,30,0,62.5,0.4,B
491820,전력설비투자,KOSPI,38025.0,27.3,70,40,30,0,50.7,0.3,B
491010,글로벌AI전력인프라액티브,KOSPI,23525.0,23.2,70,40,30,0,52.8,0.3,B
381170,미국테크TOP10,KOSPI,29460.0,839.8,70,20,30,20,62.8,1.7,B
117700,건설,KOSPI,6790.0,147.0,70,20,30,20,57.0,1.7,B
336260,두산퓨얼셀,KOSPI,45550.0,716.7,70,20,30,20,63.7,1.6,B
468380,미국하이일드액티브,KOSPI,11835.0,17.1,70,40,30,0,60.6,0.9,B
052690,한전기술,KOSPI,177200.0,1456.9,70,20,30,20,55.6,1.6,B
047810,한국항공우주,KOSPI,178000.0,637.8,70,40,30,0,50.0,0.3,B
244580,바이오,KOSPI,13445.0,174.7,70,40,30,0,50.6,0.6,B
481190,미국테크TOP10,KOSPI,15985.0,73.1,70,20,30,20,61.7,1.5,B
482730,미국S,KOSPI,11660.0,24.1,70,40,30,0,52.2,0.4,B
