종목코드,종목명,시장,발굴횟수,평균점수,최고점수,최저점수,시작가,종료가,평균거래대금,수익률
487340,머니마켓액티브,KOSPI,18,76.38888888888889,85,60,103785.0,104055.0,102.98262088888889,0.26015320132968256
495550,코리아밸류업TR,KOSPI,15,64.66666666666667,80,60,22105.0,26710.0,27.42594120333333,20.83239086179598
006340,대원전선,KOSPI,14,69.28571428571429,80,60,3750.0,6790.0,1311.6643612714286,81.06666666666666
429000,미국S,KOSPI,14,67.5,75,60,13455.0,13755.0,20.19539496214286,2.229654403567438
011150,씨푸드,KOSPI,13,73.84615384615384,90,60,2870.0,3020.0,14.291803192307693,5.226480836236935
290130,사회책임투자,KOSPI,13,73.84615384615384,80,60,31380.0,38525.0,256.4225482,22.769279796048437
473330,미국30년국채커버드콜,KOSPI,13,71.15384615384616,90,65,9075.0,9290.0,61.974259923846155,2.369146005509637
381180,미국필라델피아반도체나스닥,KOSPI,13,69.23076923076923,80,60,30185.0,31570.0,772.7524592192308,4.588371707801886
152500,레버리지,KOSPI,13,64.23076923076923,80,60,27325.0,44910.0,94.16813583846154,64.35498627630376
473440,월만기자동연장회사채AA-이상액티브,KOSPI,12,85.83333333333333,100,65,10655.0,10685.0,17.055322695833333,0.2815579540121904
458260,미국투자등급회사채액티브,KOSPI,12,69.58333333333333,80,60,48446.0,49005.0,16.005091724166665,1.1538620319531123
495330,코리아밸류업,KOSPI,12,67.91666666666667,80,60,21582.0,25560.0,34.9859504825,18.43202668890742
138530,그룹플러스,KOSPI,12,67.5,80,60,9035.0,11105.0,39.278552445833334,22.910902047592696
337140,코스피대형주,KOSPI,12,66.25,85,60,25400.0,32500.0,32.977301795833334,27.952755905511808
004700,조광피혁,KOSPI,11,74.54545454545455,85,60,72900.0,74700.0,17.484562636363634,2.4691358024691468
085620,미래에셋생명,KOSPI,11,72.72727272727273,85,65,10000.0,14880.0,206.26511543636363,48.8
491230,국공채머니마켓액티브,KOSPI,11,72.27272727272727,85,65,51630.0,51745.0,17.340437363636365,0.22273871779971977
015860,일진홀딩스,KOSPI,11,71.36363636363636,80,60,7600.0,9280.0,41.56778919090909,22.10526315789474
253150,선물레버리지,KOSPI,11,70.45454545454545,80,60,123795.0,155705.0,24.321434781818184,25.776485318470055
451060,액티브,KOSPI,11,70.0,85,60,23545.0,30760.0,76.39201075454545,30.643448715226175
472150,배당커버드콜액티브,KOSPI,11,68.18181818181819,80,60,15277.0,18610.0,564.5602790436365,21.81711068927146
114820,국채3년,KOSPI,11,65.9090909090909,80,60,104865.0,105390.0,22.605249845454548,0.5006436847375229
423160,금리액티브,KOSPI,11,65.0,65,65,110420.0,110635.0,478.66961399090906,0.19471110306104045
292150,코리아TOP10,KOSPI,11,64.54545454545455,70,60,29355.0,34490.0,1462.5127294772728,17.492761028785566
475150,이터닉스,KOSPI,11,64.54545454545455,70,60,21050.0,30050.0,2021.4281884545453,42.75534441805227
007540,샘표,KOSPI,11,64.0909090909091,65,60,50700.0,65000.0,48.378831999999996,28.205128205128215
071055,한국금융지주우,KOSPI,11,63.63636363636363,75,60,140400.0,189500.0,100.15603845454544,34.971509971509974
495850,코리아밸류업,KOSPI,11,63.63636363636363,80,60,22219.0,27625.0,331.90599624090913,24.33052792654935
261140,우선주,KOSPI,10,76.0,100,60,20655.0,24945.0,40.953339755,20.769789397240366
426020,미국S,KOSPI,10,74.0,80,70,29015.0,29150.0,44.915060604999994,0.46527658107875514
