symbol,name,grade,score,roe,debt_ratio,margin,pbr,volume_amount,breakout,current_price,target_price,stop_loss
005930,005930,A,85,62.46,42.02,18.22,1.91,71167.05,False,208500.0,239774.99999999997,193905.0
000660,000660,A,85,73.75,47.86,20.7,1.92,50168.11,False,1056000.0,1214400.0,982080.0
032830,032830,A,85,38.87,39.43,17.2,1.91,1223.53,False,235000.0,270250.0,218550.0
009150,009150,A,85,47.09,44.59,23.34,1.99,4427.91,False,464000.0,533600.0,431520.0
005380,005380,B,70,32.84,51.34,10.99,1.62,11574.58,False,545000.0,626750.0,506850.0
006400,006400,B,70,16.05,50.22,10.43,1.74,3825.51,False,405000.0,465749.99999999994,376650.0
000270,000270,B,70,18.39,51.07,11.66,1.7,3185.43,False,175100.0,201364.99999999997,162843.0
012450,012450,B,70,16.85,53.12,14.1,1.87,5884.67,False,1390000.0,1598499.9999999998,1292700.0
950160,950160,B,70,19.39,85.16,10.81,1.78,520.92,False,100700.0,115804.99999999999,93651.0
012330,012330,B,65,15.06,49.15,7.81,1.63,1803.29,False,430000.0,494499.99999999994,399900.0
028260,028260,B,65,31.36,49.72,7.93,1.66,1525.35,False,299000.0,343850.0,278070.0
105560,105560,B,65,27.25,36.85,9.41,1.83,2417.31,False,154700.0,177905.0,143871.0
128940,128940,B,65,18.42,47.28,7.04,1.7,555.25,False,531000.0,610650.0,493830.0
316140,316140,B,65,33.04,45.34,5.04,1.64,1075.34,False,33500.0,38525.0,31155.0
024110,024110,B,65,19.08,43.08,6.45,1.67,356.55,False,23850.0,27427.499999999996,22180.5
139130,139130,B,65,26.68,49.61,2.92,1.57,158.27,False,16990.0,19538.5,15800.7
032640,032640,B,65,15.91,36.27,6.53,1.74,253.4,False,15460.0,17779.0,14377.800000000001
086280,086280,B,65,16.23,49.23,4.55,1.63,760.31,False,236500.0,271975.0,219945.0
018880,018880,C,50,1.91,68.88,11.8,1.67,1467.61,False,4400.0,5060.0,4092.0
010950,010950,C,50,18.02,50.81,4.37,1.57,2000.16,False,110600.0,127189.99999999999,102858.0
100090,100090,C,50,2.69,99.34,12.24,1.25,87.25,False,18940.0,21781.0,17614.2
068270,068270,D,45,4.98,41.13,4.51,1.69,1318.99,False,209500.0,240924.99999999997,194835.0
207940,207940,D,45,0.0,45.7,7.98,1.65,903.13,False,1626000.0,1869899.9999999998,1512180.0
018260,018260,D,45,8.02,49.2,8.57,1.71,471.05,False,167100.0,192164.99999999997,155403.0
030200,030200,D,45,9.76,40.64,7.27,1.75,365.77,False,60400.0,69460.0,56172.0
282330,282330,D,45,6.13,42.84,7.16,1.73,74.43,False,121400.0,139610.0,112902.0
