symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,return_pct
298040,2025-10-01,2025-11-01,1375000.0,2135000.0,7,5320000.0,55.27272727272727
425420,2025-10-01,2025-11-01,44200.0,40750.0,226,-779700.0,-7.805429864253388
319400,2025-10-01,2025-11-01,8980.0,10100.0,1113,1246560.0,12.47216035634744
267250,2025-10-01,2025-11-01,156700.0,205000.0,63,3042900.0,30.82322910019144
194700,2025-10-01,2025-11-01,20900.0,17060.0,478,-1835520.0,-18.373205741626798
039490,2025-10-01,2025-11-01,243500.0,297000.0,41,2193500.0,21.97125256673511
434730,2025-10-01,2025-11-01,37135.0,50250.0,269,3527935.0,35.31708630671873
000880,2025-10-01,2025-11-01,84800.0,95600.0,117,1263600.0,12.735849056603765
139230,2025-10-01,2025-11-01,12495.0,15770.0,800,2620000.0,26.210484193677463
032830,2025-10-01,2025-11-01,155100.0,154300.0,64,-51200.0,-0.5157962604771082
278470,2025-11-01,2025-12-01,255000.0,252500.0,45,-112500.0,-0.9803921568627416
033640,2025-11-01,2025-12-01,17390.0,17240.0,670,-100500.0,-0.8625646923519303
093520,2025-11-01,2025-12-01,26400.0,21950.0,441,-1962450.0,-16.85606060606061
425420,2025-11-01,2025-12-01,40750.0,46850.0,286,1744600.0,14.969325153374236
434730,2025-11-01,2025-12-01,50250.0,46590.0,231,-845460.0,-7.283582089552243
417450,2025-11-01,2025-12-01,13124.0,12207.0,888,-814296.0,-6.987199024687596
367760,2025-11-01,2025-12-01,20850.0,21085.0,558,131130.0,1.127098321342923
139230,2025-11-01,2025-12-01,15770.0,13165.0,739,-1925095.0,-16.51870640456563
471780,2025-11-01,2025-12-01,16370.0,17405.0,711,735885.0,6.322541233964563
433500,2025-11-01,2025-12-01,42285.0,39140.0,275,-864875.0,-7.437625635568168
187790,2025-12-01,2026-01-01,3090.0,3480.0,3641,1419990.0,12.621359223300965
471780,2025-12-01,2026-01-01,17405.0,17685.0,646,180880.0,1.6087331226658952
394670,2025-12-01,2026-01-01,10115.0,10375.0,1112,289120.0,2.5704399406821565
395270,2025-12-01,2026-01-01,19025.0,20980.0,591,1155405.0,10.275952693823909
033530,2025-12-01,2026-01-01,8500.0,10050.0,1323,2050650.0,18.23529411764706
417970,2025-12-01,2026-01-01,20450.0,26200.0,550,3162500.0,28.117359413202927
474590,2025-12-01,2026-01-01,18045.0,19410.0,623,850395.0,7.564422277639227
487750,2025-12-01,2026-01-01,13280.0,14620.0,847,1134980.0,10.090361445783124
446690,2025-12-01,2026-01-01,27308.0,29236.0,412,794336.0,7.060202138567462
002220,2025-12-01,2026-01-01,4310.0,5070.0,2611,1984360.0,17.63341067285382
085910,2026-01-01,2026-02-01,8970.0,13430.0,1399,6239540.0,49.721293199554076
417970,2026-01-01,2026-02-01,26200.0,23400.0,479,-1341200.0,-10.687022900763354
033530,2026-01-01,2026-02-01,10050.0,10620.0,1249,711930.0,5.671641791044779
471780,2026-01-01,2026-02-01,17685.0,22205.0,709,3204680.0,25.558382810291214
394670,2026-01-01,2026-02-01,10375.0,11450.0,1210,1300750.0,10.361445783132538
474590,2026-01-01,2026-02-01,19410.0,26250.0,646,4418640.0,35.23956723338486
315960,2026-01-01,2026-02-01,39740.0,52580.0,315,4044600.0,32.31001509813789
449690,2026-01-01,2026-02-01,27570.0,35540.0,455,3626350.0,28.90823358723249
450190,2026-01-01,2026-02-01,27995.0,36025.0,448,3597440.0,28.683693516699414
292150,2026-01-01,2026-02-01,21126.0,28225.0,594,4216806.0,33.603143046483
315960,2026-02-01,2026-03-01,52580.0,65840.0,295,3911700.0,25.21871434005325
292150,2026-02-01,2026-03-01,28225.0,34490.0,551,3452015.0,22.19663418954827
417970,2026-02-01,2026-03-01,23400.0,21750.0,664,-1095600.0,-7.051282051282048
450190,2026-02-01,2026-03-01,36025.0,39625.0,431,1551600.0,9.99306037473977
449690,2026-02-01,2026-03-01,35540.0,39010.0,437,1516390.0,9.763646595385488
469790,2026-02-01,2026-03-01,25995.0,31615.0,598,3360760.0,21.619542219657628
471780,2026-02-01,2026-03-01,22205.0,26595.0,700,3073000.0,19.770321999549644
290130,2026-02-01,2026-03-01,31020.0,37825.0,501,3409305.0,21.93745970341714
275300,2026-02-01,2026-03-01,20735.0,24585.0,750,2887500.0,18.56763925729443
078890,2026-02-01,2026-03-01,6470.0,7810.0,2404,3221360.0,20.710973724884084
