symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,return_pct
090360,2025-10-01,2025-11-01,44950.0,86900.0,222,9312900.0,93.32591768631812
424980,2025-10-01,2025-11-01,9240.0,10930.0,1082,1828580.0,18.29004329004329
263860,2025-10-01,2025-11-01,25350.0,20850.0,394,-1773000.0,-17.751479289940832
215100,2025-10-01,2025-11-01,6370.0,9980.0,1569,5664090.0,56.67189952904239
251370,2025-10-01,2025-11-01,16080.0,12930.0,621,-1956150.0,-19.589552238805975
207760,2025-10-01,2025-11-01,1681.0,1642.0,5948,-231972.0,-2.3200475907198093
254490,2025-10-01,2025-11-01,17440.0,17090.0,573,-200550.0,-2.006880733944949
099320,2025-10-01,2025-11-01,68800.0,60300.0,145,-1232500.0,-12.354651162790697
278240,2025-10-01,2025-11-01,10879.0,13029.0,919,1975850.0,19.762845849802368
291630,2025-10-01,2025-11-01,4835.0,5780.0,2068,1954260.0,19.544984488107552
005950,2025-11-01,2025-12-01,10670.0,9350.0,1080,-1425600.0,-12.371134020618557
042700,2025-11-01,2025-12-01,143700.0,121700.0,80,-1760000.0,-15.30967292971468
086520,2025-11-01,2025-12-01,88000.0,93000.0,131,655000.0,5.681818181818188
462010,2025-11-01,2025-12-01,5695.0,5685.0,2025,-20250.0,-0.17559262510974394
461950,2025-11-01,2025-12-01,5760.0,5710.0,2002,-100100.0,-0.868055555555558
466810,2025-11-01,2025-12-01,6690.0,6420.0,1724,-465480.0,-4.0358744394618835
247540,2025-11-01,2025-12-01,160000.0,158900.0,72,-79200.0,-0.6874999999999964
305540,2025-11-01,2025-12-01,20050.0,18890.0,575,-667000.0,-5.785536159601001
455860,2025-11-01,2025-12-01,5325.0,5290.0,2166,-75810.0,-0.6572769953051671
305720,2025-11-01,2025-12-01,16180.0,15315.0,712,-615880.0,-5.346106304079113
084670,2025-12-01,2026-01-01,12650.0,73200.0,875,52981250.0,478.6561264822135
002020,2025-12-01,2026-01-01,54100.0,50000.0,204,-836400.0,-7.5785582255083135
000240,2025-12-01,2026-01-01,28200.0,26150.0,392,-803600.0,-7.269503546099287
111770,2025-12-01,2026-01-01,88800.0,81800.0,124,-868000.0,-7.88288288288288
006730,2025-12-01,2026-01-01,11530.0,13100.0,960,1507200.0,13.61665221162185
334690,2025-12-01,2026-01-01,7194.0,7980.0,1539,1209654.0,10.925771476230196
024830,2025-12-01,2026-01-01,10500.0,10300.0,1055,-211000.0,-1.904761904761909
009970,2025-12-01,2026-01-01,166700.0,191500.0,66,1636800.0,14.877024595080979
067000,2025-12-01,2026-01-01,2280.0,2055.0,4859,-1093275.0,-9.868421052631582
139240,2025-12-01,2026-01-01,11990.0,12350.0,923,332280.0,3.0025020850708906
368770,2026-01-01,2026-02-01,10800.0,16810.0,1524,9159240.0,55.64814814814816
039860,2026-01-01,2026-02-01,6000.0,5110.0,2744,-2442160.0,-14.833333333333332
038500,2026-01-01,2026-02-01,4990.0,8400.0,3299,11249590.0,68.33667334669337
274090,2026-01-01,2026-02-01,17780.0,29800.0,925,11118500.0,67.60404949381326
357550,2026-01-01,2026-02-01,70200.0,58500.0,234,-2737800.0,-16.666666666666664
298830,2026-01-01,2026-02-01,8040.0,8900.0,2047,1760420.0,10.696517412935314
012610,2026-01-01,2026-02-01,4875.0,4920.0,3377,151965.0,0.9230769230769154
334690,2026-01-01,2026-02-01,7980.0,9140.0,2063,2393080.0,14.536340852130337
196700,2026-01-01,2026-02-01,2135.0,2210.0,7711,578325.0,3.512880562060894
008355,2026-01-01,2026-02-01,18000.0,15710.0,914,-2093060.0,-12.722222222222223
101330,2026-02-01,2026-03-01,6950.0,5850.0,2788,-3066800.0,-15.827338129496404
019010,2026-02-01,2026-03-01,3995.0,6150.0,4850,10451750.0,53.94242803504381
138540,2026-02-01,2026-03-01,56530.0,73900.0,342,5940540.0,30.727047585352917
007820,2026-02-01,2026-03-01,6220.0,5750.0,3115,-1464050.0,-7.556270096463025
452260,2026-02-01,2026-03-01,1821.0,3150.0,10641,14141889.0,72.9818780889621
251630,2026-02-01,2026-03-01,7850.0,7000.0,2468,-2097800.0,-10.828025477707005
432470,2026-02-01,2026-03-01,16710.0,16010.0,1159,-811300.0,-4.189108318372236
139290,2026-02-01,2026-03-01,26820.0,33285.0,722,4667730.0,24.105145413870254
094820,2026-02-01,2026-03-01,15420.0,18530.0,1256,3906160.0,20.16861219195849
215600,2026-02-01,2026-03-01,4470.0,3620.0,4335,-3684750.0,-19.01565995525727
