symbol,name,market,strategy,score,price,volatility,returns_6m,max_dd,rsi,details
068930,디지털대성,KOSDAQ,배당성장,100,8860.0,23.17,18.61,-19.88,54.9,"['✅ 변동성 23.2% (매우 안정)', '✅ 꾸준한 성장 (6M 18.6%)', '✅ 거래 안정', '✅ 낙폭 작음 (-19.9%)', '✅ RSI 적정 (54.9)']"
203780,미국나스닥바이오,KOSPI,배당성장,100,31160.0,23.48,26.71,-17.15,51.9,"['✅ 변동성 23.5% (매우 안정)', '✅ 꾸준한 성장 (6M 26.7%)', '✅ 거래 안정', '✅ 낙폭 작음 (-17.2%)', '✅ RSI 적정 (51.9)']"
251350,선진국,KOSPI,배당성장,100,37160.0,13.3,10.54,-14.24,50.5,"['✅ 변동성 13.3% (매우 안정)', '✅ 꾸준한 성장 (6M 10.5%)', '✅ 거래 안정', '✅ 낙폭 작음 (-14.2%)', '✅ RSI 적정 (50.5)']"
360750,미국S,KOSPI,배당성장,100,24785.0,13.0,9.65,-15.53,60.0,"['✅ 변동성 13.0% (매우 안정)', '✅ 꾸준한 성장 (6M 9.6%)', '✅ 거래 안정', '✅ 낙폭 작음 (-15.5%)', '✅ RSI 적정 (60.0)']"
399110,미국S,KOSPI,배당성장,100,19615.0,14.23,12.01,-15.18,53.2,"['✅ 변동성 14.2% (매우 안정)', '✅ 꾸준한 성장 (6M 12.0%)', '✅ 거래 안정', '✅ 낙폭 작음 (-15.2%)', '✅ RSI 적정 (53.2)']"
415640,발해인프라,KOSPI,배당성장,100,9950.0,13.96,12.56,-8.59,44.3,"['✅ 변동성 14.0% (매우 안정)', '✅ 꾸준한 성장 (6M 12.6%)', '✅ 거래 안정', '✅ 낙폭 작음 (-8.6%)', '✅ RSI 적정 (44.3)']"
426020,미국S,KOSPI,배당성장,100,28890.0,19.52,15.96,-19.68,53.4,"['✅ 변동성 19.5% (매우 안정)', '✅ 꾸준한 성장 (6M 16.0%)', '✅ 거래 안정', '✅ 낙폭 작음 (-19.7%)', '✅ RSI 적정 (53.4)']"
429000,미국S,KOSPI,배당성장,100,13670.0,15.22,11.97,-10.69,44.2,"['✅ 변동성 15.2% (매우 안정)', '✅ 꾸준한 성장 (6M 12.0%)', '✅ 거래 안정', '✅ 낙폭 작음 (-10.7%)', '✅ RSI 적정 (44.2)']"
433880,액티브,KOSPI,배당성장,100,17610.0,10.88,7.94,-11.07,49.5,"['✅ 변동성 10.9% (매우 안정)', '✅ 꾸준한 성장 (6M 7.9%)', '✅ 거래 안정', '✅ 낙폭 작음 (-11.1%)', '✅ RSI 적정 (49.5)']"
433980,액티브,KOSPI,배당성장,100,15265.0,8.89,5.52,-8.32,43.3,"['✅ 변동성 8.9% (매우 안정)', '✅ 꾸준한 성장 (6M 5.5%)', '✅ 거래 안정', '✅ 낙폭 작음 (-8.3%)', '✅ RSI 적정 (43.3)']"
