symbol,name,market,strategy,score,price,pb_proxy,volume_ratio,returns_3m,rsi,ma_aligned,checks
032850,비트컴퓨터,KOSDAQ,그레이엄 순유동자산,100,5610.0,1.26,1.59,14.37,49.3,True,"['✅ 52주 저가 대비 1.26', '✅ 거래량 1.6배', '✅ 3M 수익 14.4%', '✅ RSI 49.3', '✅ 정배열']"
048910,대원미디어,KOSDAQ,그레이엄 순유동자산,100,8740.0,1.25,1.95,5.81,57.6,True,"['✅ 52주 저가 대비 1.25', '✅ 거래량 2.0배', '✅ 3M 수익 5.8%', '✅ RSI 57.6', '✅ 정배열']"
065530,와이어블,KOSDAQ,그레이엄 순유동자산,100,1424.0,1.21,3.38,2.45,56.3,True,"['✅ 52주 저가 대비 1.21', '✅ 거래량 3.4배', '✅ 3M 수익 2.4%', '✅ RSI 56.3', '✅ 정배열']"
081150,티플랙스,KOSDAQ,그레이엄 순유동자산,100,3345.0,1.23,3.22,15.34,58.3,True,"['✅ 52주 저가 대비 1.23', '✅ 거래량 3.2배', '✅ 3M 수익 15.3%', '✅ RSI 58.3', '✅ 정배열']"
097870,효성오앤비,KOSDAQ,그레이엄 순유동자산,100,6560.0,1.18,2.21,6.15,54.6,True,"['✅ 52주 저가 대비 1.18', '✅ 거래량 2.2배', '✅ 3M 수익 6.1%', '✅ RSI 54.6', '✅ 정배열']"
137950,제이씨케미칼,KOSDAQ,그레이엄 순유동자산,100,3975.0,1.27,2.75,17.95,59.4,True,"['✅ 52주 저가 대비 1.27', '✅ 거래량 2.7배', '✅ 3M 수익 18.0%', '✅ RSI 59.4', '✅ 정배열']"
002870,신풍,KOSPI,그레이엄 순유동자산,100,1246.0,1.25,1.58,8.73,53.3,True,"['✅ 52주 저가 대비 1.25', '✅ 거래량 1.6배', '✅ 3M 수익 8.7%', '✅ RSI 53.3', '✅ 정배열']"
005010,휴스틸,KOSPI,그레이엄 순유동자산,100,4810.0,1.26,1.84,17.03,57.1,True,"['✅ 52주 저가 대비 1.26', '✅ 거래량 1.8배', '✅ 3M 수익 17.0%', '✅ RSI 57.1', '✅ 정배열']"
017860,단석,KOSPI,그레이엄 순유동자산,100,19410.0,1.24,2.4,1.71,52.3,True,"['✅ 52주 저가 대비 1.24', '✅ 거래량 2.4배', '✅ 3M 수익 1.7%', '✅ RSI 52.3', '✅ 정배열']"
047400,유니온머티리얼,KOSPI,그레이엄 순유동자산,100,1580.0,1.22,2.78,12.06,52.4,True,"['✅ 52주 저가 대비 1.22', '✅ 거래량 2.8배', '✅ 3M 수익 12.1%', '✅ RSI 52.4', '✅ 정배열']"
