symbol,name,market,strategy,score,price,returns_6m,return_std,from_52w_high,rsi,volume_trend,details
024740,한일단조,KOSDAQ,퀄리티 적정가,100,3435.0,56.49,5.36,-12.93,63.7,3.97,"['✅ 6M 수익 56.5%', '✅ 변동성 낮음 (σ=5.4)', '✅ 52주 고점 대비 -12.9%', '✅ 모멘텀 양호 (RSI 63.7, MACD+)', '✅ 관심 증가 (거래량 4.0배)']"
040910,아이씨디,KOSDAQ,퀄리티 적정가,100,5500.0,40.13,7.89,-8.79,59.3,1.56,"['✅ 6M 수익 40.1%', '✅ 변동성 낮음 (σ=7.9)', '✅ 52주 고점 대비 -8.8%', '✅ 모멘텀 양호 (RSI 59.3, MACD+)', '✅ 관심 증가 (거래량 1.6배)']"
127710,아시아경제,KOSDAQ,퀄리티 적정가,100,1336.0,20.9,6.89,-12.11,82.2,1.32,"['✅ 6M 수익 20.9%', '✅ 변동성 낮음 (σ=6.9)', '✅ 52주 고점 대비 -12.1%', '✅ 모멘텀 양호 (RSI 82.2, MACD+)', '✅ 관심 증가 (거래량 1.3배)']"
310870,디와이씨,KOSDAQ,퀄리티 적정가,100,1609.0,25.12,4.98,-9.35,65.9,5.18,"['✅ 6M 수익 25.1%', '✅ 변동성 낮음 (σ=5.0)', '✅ 52주 고점 대비 -9.4%', '✅ 모멘텀 양호 (RSI 65.9, MACD+)', '✅ 관심 증가 (거래량 5.2배)']"
321550,티움바이오,KOSDAQ,퀄리티 적정가,100,7420.0,24.08,6.8,-19.96,58.5,1.87,"['✅ 6M 수익 24.1%', '✅ 변동성 낮음 (σ=6.8)', '✅ 52주 고점 대비 -20.0%', '✅ 모멘텀 양호 (RSI 58.5, MACD+)', '✅ 관심 증가 (거래량 1.9배)']"
001230,동국홀딩스,KOSPI,퀄리티 적정가,100,9680.0,25.39,5.11,-6.2,51.0,1.88,"['✅ 6M 수익 25.4%', '✅ 변동성 낮음 (σ=5.1)', '✅ 52주 고점 대비 -6.2%', '✅ 모멘텀 양호 (RSI 51.0, MACD+)', '✅ 관심 증가 (거래량 1.9배)']"
003925,남양유업우,KOSPI,퀄리티 적정가,100,45000.0,29.68,3.42,-5.36,70.4,2.07,"['✅ 6M 수익 29.7%', '✅ 변동성 낮음 (σ=3.4)', '✅ 52주 고점 대비 -5.4%', '✅ 모멘텀 양호 (RSI 70.4, MACD+)', '✅ 관심 증가 (거래량 2.1배)']"
009900,명신산업,KOSPI,퀄리티 적정가,100,10800.0,16.88,3.69,-6.09,57.4,1.46,"['✅ 6M 수익 16.9%', '✅ 변동성 낮음 (σ=3.7)', '✅ 52주 고점 대비 -6.1%', '✅ 모멘텀 양호 (RSI 57.4, MACD+)', '✅ 관심 증가 (거래량 1.5배)']"
336260,두산퓨얼셀,KOSPI,퀄리티 적정가,100,42850.0,30.84,5.56,-7.35,59.9,1.7,"['✅ 6M 수익 30.8%', '✅ 변동성 낮음 (σ=5.6)', '✅ 52주 고점 대비 -7.4%', '✅ 모멘텀 양호 (RSI 59.9, MACD+)', '✅ 관심 증가 (거래량 1.7배)']"
036830,솔브레인홀딩스,KOSDAQ,퀄리티 적정가,95,54500.0,27.34,11.59,-12.66,52.7,1.72,"['✅ 6M 수익 27.3%', '⚡ 변동성 보통 (σ=11.6)', '✅ 52주 고점 대비 -12.7%', '✅ 모멘텀 양호 (RSI 52.7, MACD+)', '✅ 관심 증가 (거래량 1.7배)']"
036890,진성티이씨,KOSDAQ,퀄리티 적정가,95,16330.0,26.79,9.01,-7.74,53.4,1.6,"['✅ 6M 수익 26.8%', '⚡ 변동성 보통 (σ=9.0)', '✅ 52주 고점 대비 -7.7%', '✅ 모멘텀 양호 (RSI 53.4, MACD+)', '✅ 관심 증가 (거래량 1.6배)']"
173940,에프엔씨엔터,KOSDAQ,퀄리티 적정가,95,3800.0,19.87,10.64,-10.27,60.3,1.85,"['✅ 6M 수익 19.9%', '⚡ 변동성 보통 (σ=10.6)', '✅ 52주 고점 대비 -10.3%', '✅ 모멘텀 양호 (RSI 60.3, MACD+)', '✅ 관심 증가 (거래량 1.9배)']"
389020,자람테크놀로지,KOSDAQ,퀄리티 적정가,95,55900.0,55.71,9.43,-8.36,51.6,2.17,"['✅ 6M 수익 55.7%', '⚡ 변동성 보통 (σ=9.4)', '✅ 52주 고점 대비 -8.4%', '✅ 모멘텀 양호 (RSI 51.6, MACD+)', '✅ 관심 증가 (거래량 2.2배)']"
425040,티이엠씨,KOSDAQ,퀄리티 적정가,95,9710.0,16.71,10.51,-12.29,51.0,1.94,"['✅ 6M 수익 16.7%', '⚡ 변동성 보통 (σ=10.5)', '✅ 52주 고점 대비 -12.3%', '✅ 모멘텀 양호 (RSI 51.0, MACD+)', '✅ 관심 증가 (거래량 1.9배)']"
002870,신풍,KOSPI,퀄리티 적정가,95,1246.0,18.55,8.07,-11.82,53.3,1.82,"['✅ 6M 수익 18.6%', '⚡ 변동성 보통 (σ=8.1)', '✅ 52주 고점 대비 -11.8%', '✅ 모멘텀 양호 (RSI 53.3, MACD+)', '✅ 관심 증가 (거래량 1.8배)']"
015260,에이엔피,KOSPI,퀄리티 적정가,95,700.0,34.87,10.01,-16.37,54.2,2.77,"['✅ 6M 수익 34.9%', '⚡ 변동성 보통 (σ=10.0)', '✅ 52주 고점 대비 -16.4%', '✅ 모멘텀 양호 (RSI 54.2, MACD+)', '✅ 관심 증가 (거래량 2.8배)']"
008370,원풍,KOSDAQ,퀄리티 적정가,93,4880.0,10.16,5.44,-8.1,51.8,2.84,"['⚡ 6M 수익 10.2%', '✅ 변동성 낮음 (σ=5.4)', '✅ 52주 고점 대비 -8.1%', '✅ 모멘텀 양호 (RSI 51.8, MACD+)', '✅ 관심 증가 (거래량 2.8배)']"
