scan_date,symbol,name,market,price,amount,total_score,trend_score,momentum_score,volume_score,rsi,volume_ratio,grade
2026-02-02,000050,경방,KOSPI,9380.0,133.7693994,65,20,15,30,73.42342342342343,4.890337051603884,B
2026-02-02,000650,천일고속,KOSPI,297500.0,1101.69605,60,0,30,30,61.98979591836735,4.954895648520561,B
2026-02-02,001360,삼성제약,KOSPI,1788.0,81.54574512,65,20,15,30,77.45839636913767,2.026055423410237,B
2026-02-02,001500,현대차증권,KOSPI,8900.0,31.318121,65,40,15,10,65.94202898550725,1.42877067270242,B
2026-02-02,001740,네트웍스,KOSPI,5050.0,141.480598,65,20,15,30,69.76127320954907,2.97190392640666,B
2026-02-02,001800,오리온홀딩스,KOSPI,20700.0,23.564259,65,40,15,10,60.80760095011877,1.0282537877436397,B
2026-02-02,002200,한국수출포장,KOSPI,3165.0,15.15132975,85,40,15,30,59.64912280701755,2.881416020821145,A
2026-02-02,002220,한일철강,KOSPI,4745.0,21.0983578,100,40,30,30,54.54545454545455,3.944909808820339,A
2026-02-02,002320,한진,KOSPI,19840.0,10.0858624,70,20,30,20,59.154929577464785,1.5209657875446916,B
2026-02-02,002700,신일전자,KOSPI,1334.0,11.15465454,80,20,30,30,68.42105263157895,2.155539000108269,A
2026-02-02,003280,흥아해운,KOSPI,1685.0,69.15309085,65,40,15,10,53.268765133171904,1.2100529154037873,B
2026-02-02,003545,대신증권우,KOSPI,22200.0,31.275804,65,40,15,10,68.35443037974683,1.2902841735447874,B
2026-02-02,003547,대신증권2우B,KOSPI,21200.0,10.821964,65,40,15,10,68.11594202898551,1.371602531635366,B
2026-02-02,003670,포스코퓨처엠,KOSPI,217500.0,1469.353875,65,40,15,10,59.79945305378305,1.119460735316342,B
2026-02-02,003690,코리안리,KOSPI,11470.0,56.6716642,65,40,15,10,69.31818181818181,1.0002229866095682,B
2026-02-02,004000,롯데정밀화학,KOSPI,46650.0,35.3928885,65,40,15,10,66.85082872928177,1.2410502364520577,B
2026-02-02,004090,한국석유,KOSPI,14400.0,116.084304,75,40,15,20,50.67437379576108,1.562674431373712,B
2026-02-02,004100,태양금속,KOSPI,2395.0,32.43172485,60,0,30,30,67.66917293233084,2.2923861710917968,B
2026-02-02,004170,신세계,KOSPI,313500.0,263.61588,60,20,30,10,69.9074074074074,1.0015424286998933,B
2026-02-02,004560,현대비앤지스틸,KOSPI,17520.0,1086.645588,65,20,15,30,82.00692041522491,13.213152021395612,B
2026-02-02,004700,조광피혁,KOSPI,72900.0,21.956022,80,20,30,30,65.4320987654321,4.86672968627546,A
2026-02-02,004840,동일,KOSPI,5740.0,11.4605988,65,20,15,30,70.09803921568627,2.258521546290122,B
2026-02-02,004980,성신양회,KOSPI,9870.0,11.2760802,60,20,30,10,59.41176470588235,1.425732343543016,B
2026-02-02,005070,코스모신소재,KOSPI,50000.0,239.8375,65,40,15,10,60.74380165289256,1.3512493299037174,B
2026-02-02,005300,롯데칠성,KOSPI,134600.0,61.751788,75,40,15,20,74.05405405405406,1.708747844418207,B
2026-02-02,005870,휴니드,KOSPI,8170.0,41.7769682,65,40,15,10,54.295532646048116,1.4023601026184038,B
2026-02-02,005930,삼성전자,KOSPI,150400.0,59781.546976,65,40,15,10,64.09691629955947,1.2900051640619945,B
2026-02-02,006220,제주은행,KOSPI,17050.0,2830.5828595,65,20,15,30,75.06874427131072,9.275723326565526,B
2026-02-02,006405,삼성SDI우,KOSPI,194700.0,39.491001,65,40,15,10,66.4928292046936,1.0678326151448705,B
2026-02-02,006805,미래에셋증권우,KOSPI,19450.0,215.1261415,60,20,30,10,67.40740740740742,1.1600245063117702,B
2026-02-02,008350,남선알미늄,KOSPI,1283.0,200.47217561,80,20,30,30,65.97510373443984,2.438466238903793,A
2026-02-02,008770,호텔신라,KOSPI,46050.0,267.6071415,65,20,15,30,53.09734513274336,2.484248028518774,B
2026-02-02,009150,삼성전기,KOSPI,283000.0,4177.74222,85,40,15,30,44.11764705882353,2.056707076319323,A
