date,total_signals,a_grade,b_grade,avg_score
2026-02-02,199,43,156,70.32663316582915
2026-02-03,201,43,158,69.12935323383084
2026-02-04,219,39,180,67.73972602739725
2026-02-05,182,33,149,68.21428571428571
2026-02-06,149,27,122,68.89261744966443
2026-02-09,194,46,148,69.17525773195877
2026-02-10,199,31,168,68.31658291457286
2026-02-11,144,24,120,68.05555555555556
2026-02-12,197,32,165,68.07106598984771
2026-02-13,173,42,131,69.07514450867052
2026-02-16,173,42,131,69.07514450867052
2026-02-17,173,42,131,69.07514450867052
2026-02-18,173,42,131,69.07514450867052
2026-02-19,228,33,195,67.36842105263158
2026-02-20,231,28,203,66.51515151515152
2026-02-23,213,45,168,68.16901408450704
2026-02-24,147,28,119,68.60544217687075
2026-02-25,172,28,144,68.40116279069767
2026-02-26,186,24,162,66.45161290322581
2026-02-27,189,38,151,69.02116402116403
