code,name,signal_date,entry_date,entry_price,exit_price,return,days,reason,scan_close
0009K0,에임드바이오,2026-03-03,2026-03-05,55200.0,60720.00000000001,10.0,1,take_profit,64300.0
001067,JW중외제약2우B,2026-03-03,2026-03-05,57400.0,55400.0,-3.484320557491289,5,time_exit,58200.0
004170,신세계,2026-03-03,2026-03-05,328000.0,311600.0,-5.0,2,stop_loss,359500.0
005870,휴니드,2026-03-03,2026-03-05,8000.0,8800.0,10.0,1,take_profit,9250.0
005880,대한해운,2026-03-03,2026-03-05,1998.0,2197.8,10.0,1,take_profit,2820.0
007660,이수페타시스,2026-03-03,2026-03-05,108400.0,102980.0,-5.0,2,stop_loss,115000.0
009310,참엔지니어링,2026-03-03,2026-03-05,1015.0,1116.5,10.0,1,take_profit,1218.0
009970,영원무역홀딩스,2026-03-03,2026-03-05,221000.0,238000.0,7.6923076923076925,5,time_exit,244000.0
013810,스페코,2026-03-03,2026-03-05,2630.0,2893.0000000000005,10.0,1,take_profit,3185.0
014100,메디앙스,2026-03-03,2026-03-05,1523.0,1675.3000000000002,10.0,1,take_profit,1671.0
014530,극동유화,2026-03-03,2026-03-05,4200.0,4620.0,10.0,1,take_profit,4615.0
019210,와이지-원,2026-03-03,2026-03-05,8180.0,8998.0,10.0,1,take_profit,9090.0
024740,한일단조,2026-03-03,2026-03-05,2595.0,2854.5000000000005,10.0,1,take_profit,2690.0
051160,지어소프트,2026-03-03,2026-03-05,6760.0,7436.000000000001,10.0,1,take_profit,7060.0
059120,아진엑스텍,2026-03-03,2026-03-05,6700.0,7370.000000000001,10.0,1,take_profit,7430.0
065650,하이퍼코퍼레이션,2026-03-03,2026-03-05,1843.0,1750.85,-5.0,2,stop_loss,1966.0
075970,동국알앤에스,2026-03-03,2026-03-05,2050.0,2255.0,10.0,5,take_profit,2225.0
082800,비보존 제약,2026-03-03,2026-03-05,3855.0,3662.25,-5.0,2,stop_loss,4075.0
083550,케이엠,2026-03-03,2026-03-05,3180.0,3498.0000000000005,10.0,5,take_profit,3900.0
083790,CG인바이츠,2026-03-03,2026-03-05,1280.0,1408.0,10.0,1,take_profit,1430.0
101970,우양에이치씨,2026-03-03,2026-03-05,11030.0,12133.000000000002,10.0,3,take_profit,12460.0
106240,파인테크닉스,2026-03-03,2026-03-05,1988.0,2010.0,1.1066398390342052,5,time_exit,2095.0
107640,한중엔시에스,2026-03-03,2026-03-05,43600.0,47960.00000000001,10.0,1,take_profit,51000.0
