종목코드,종목명,진입일,청산일,진입가,청산가,수량,전략,청산사유,손익,수익률,보유일
204320,만도,2026-01-02,2026-01-05,65400.0,60822.0,137,"S1_TOP20(#18),S3_모멘텀,S4_2000억돌파",stop_loss,-627186.0,-7.000000000000001,3
042700,한미반도체,2026-01-02,2026-01-05,144500.0,166175.0,56,"S1_TOP20(#7),S3_모멘텀",target_15,1213800.0,15.0,3
012200,계양전기,2026-01-02,2026-01-06,7850.0,9027.5,1273,"S1_TOP20(#14),S3_모멘텀,S4_2000억돌파",target_15,1498957.5,15.0,4
003160,디아이,2026-01-02,2026-01-06,24100.0,27714.999999999996,95,S3_모멘텀,target_15,343424.99999999965,14.999999999999986,4
003350,한국화장품제조,2026-01-02,2026-01-07,51800.0,48174.0,42,S3_모멘텀,stop_loss,-152292.0,-7.000000000000001,5
001210,금호전기,2026-01-06,2026-01-07,712.0,890.0,7861,"S3_모멘텀,S5_MA200우상향",target_25,1399258.0,25.0,1
000860,강남제비스코,2026-01-02,2026-01-09,13860.0,15938.999999999998,174,S3_모멘텀,target_15,361745.9999999997,14.999999999999986,7
298830,슈어소프트테크,2026-01-07,2026-01-09,9300.0,8649.0,638,"S1_TOP20(#12),S3_모멘텀,S4_2000억돌파",stop_loss,-415338.0,-7.000000000000001,2
000520,삼일제약,2026-01-06,2026-01-12,10350.0,9625.5,600,"S3_모멘텀,S5_MA200우상향",stop_loss,-434700.0,-7.000000000000001,6
080220,제주반도체,2026-01-02,2026-01-13,30650.0,28504.5,175,"S1_TOP20(#6),S3_모멘텀",stop_loss,-375462.5,-7.000000000000001,11
009320,아진전자부품,2026-01-09,2026-01-13,1005.0,1155.75,5057,"S3_모멘텀,S5_MA200우상향",target_15,762342.75,15.0,4
001210,금호전기,2026-01-13,2026-01-14,1085.0,1356.25,5276,"S3_모멘텀,S5_MA200우상향",target_25,1431115.0,25.0,1
000270,기아,2026-01-07,2026-01-15,129300.0,148695.0,41,"S1_TOP20(#13),S3_모멘텀",target_15,795195.0,15.0,8
000720,현대건설,2026-01-12,2026-01-16,91100.0,104764.99999999999,56,"S1_TOP20(#7),S3_모멘텀",target_15,765239.9999999992,14.999999999999982,4
005380,현대차,2026-01-13,2026-01-19,406000.0,466899.99999999994,12,"S1_TOP20(#3),S3_모멘텀",target_15,730799.9999999993,14.999999999999986,6
000270,기아,2026-01-15,2026-01-20,152500.0,175375.0,35,"S1_TOP20(#13),S3_모멘텀",target_15,800625.0,15.0,5
003570,다이내믹스,2026-01-09,2026-01-21,54600.0,50778.0,103,"S3_모멘텀,S5_MA200우상향",stop_loss,-393666.0,-7.000000000000001,12
000880,한화,2026-01-14,2026-01-21,128500.0,119505.0,41,"S1_TOP20(#6),S3_모멘텀,S4_2000억돌파",stop_loss,-368795.0,-7.000000000000001,7
006910,보성파워텍,2026-01-20,2026-01-21,7800.0,8970.0,716,"S1_TOP20(#18),S3_모멘텀,S4_2000억돌파",target_15,837720.0,15.0,1
068270,셀트리온,2026-01-02,2026-01-22,202500.0,208000.0,36,"S1_TOP20(#5),S3_모멘텀",timeout,198000.0,2.7160493827160495,20
396500,반도체TOP10,2026-01-02,2026-01-22,21645.0,24275.0,303,"S1_TOP20(#16),S3_모멘텀",timeout,796890.0,12.150612150612151,20
459580,금리액티브,2026-01-02,2026-01-22,1068704.0,1070351.0,5,"S1_TOP20(#3),S3_모멘텀",timeout,8235.0,0.1541118962781088,20
000270,기아,2026-01-21,2026-01-23,172100.0,160053.0,34,"S1_TOP20(#10),S3_모멘텀",stop_loss,-409598.0,-7.000000000000001,2
005380,현대차,2026-01-21,2026-01-23,549000.0,510570.0,9,"S1_TOP20(#2),S3_모멘텀",stop_loss,-345870.0,-7.000000000000001,2
005930,삼성전자,2026-01-05,2026-01-26,138100.0,152100.0,42,"S1_TOP20(#1),S3_모멘텀",timeout,588000.0,10.137581462708182,21
005935,삼성전자우,2026-01-05,2026-01-26,102000.0,110900.0,52,"S1_TOP20(#6),S3_모멘텀",timeout,462800.0,8.72549019607843,21
003580,글로벌,2026-01-22,2026-01-26,2435.0,2800.25,2314,"S3_모멘텀,S5_MA200우상향",target_15,845188.5,15.0,4
377300,카카오페이,2026-01-23,2026-01-26,67800.0,77970.0,89,"S1_TOP20(#8),S3_모멘텀,S4_2000억돌파,S5_MA200우상향",target_15,905130.0,15.0,3
064260,다날,2026-01-23,2026-01-26,8900.0,10235.0,614,"S1_TOP20(#18),S3_모멘텀,S4_2000억돌파",target_15,819690.0,15.0,3
008600,윌비스,2026-01-26,2026-01-27,334.0,417.5,21857,"S3_모멘텀,S5_MA200우상향",target_25,1825059.5,25.0,1
000040,모터스,2026-01-21,2026-01-29,450.0,418.5,14852,"S3_모멘텀,S5_MA200우상향",stop_loss,-467838.0,-7.000000000000001,8
002710,스틸,2026-01-22,2026-01-29,15130.0,17399.5,459,"S3_모멘텀,S5_MA200우상향",target_15,1041700.5,15.0,7
036580,팜스코,2026-01-26,2026-01-29,2935.0,2729.55,2238,"S3_모멘텀,S5_MA200우상향",stop_loss,-459797.09999999957,-6.999999999999994,3
229200,코스닥150,2026-01-26,2026-01-29,18435.0,21200.25,288,"S1_TOP20(#2),S3_모멘텀",target_15,796392.0,15.0,3
001360,삼성제약,2026-01-16,2026-01-30,1539.0,1923.75,3584,"S3_모멘텀,S5_MA200우상향",target_25,1378944.0,25.0,14
067310,하나마이크론,2026-01-27,2026-01-30,33450.0,38467.5,170,"S1_TOP20(#19),S3_모멘텀,S4_2000억돌파",target_15,852975.0,15.0,3
001290,상상인증권,2026-01-29,2026-01-30,780.0,725.4000000000001,9971,"S3_모멘텀,S5_MA200우상향",stop_loss,-544416.599999999,-6.9999999999999885,1
003060,에이프로젠바이오로직스,2026-01-29,2026-02-02,563.0,523.59,12433,"S3_모멘텀,S5_MA200우상향",stop_loss,-489984.5299999996,-6.999999999999994,4
003530,한화투자증권,2026-01-29,2026-02-02,6610.0,6147.3,953,"S3_모멘텀,S5_MA200우상향",stop_loss,-440953.0999999998,-6.999999999999998,4
001510,증권,2026-01-30,2026-02-02,948.0,881.6400000000001,7566,"S3_모멘텀,S4_2000억돌파",stop_loss,-502079.75999999925,-6.999999999999989,3
136490,선진,2026-01-26,2026-02-03,10600.0,13250.0,557,"S3_모멘텀,S5_MA200우상향",target_25,1476050.0,25.0,8
006800,미래에셋증권,2026-01-29,2026-02-03,40850.0,46977.5,138,"S1_TOP20(#14),S3_모멘텀",target_15,845595.0,15.0,5
006220,제주은행,2026-02-02,2026-02-03,17050.0,15856.5,420,"S3_모멘텀,S4_2000억돌파,S5_MA200우상향",stop_loss,-501270.0,-7.000000000000001,1
114800,인버스,2026-02-02,2026-02-03,2030.0,1887.9,3176,"S1_TOP20(#15),S3_모멘텀,S5_MA200우상향",stop_loss,-451309.5999999997,-6.999999999999995,1
252670,선물인버스2X,2026-02-02,2026-02-03,420.0,390.6,13818,"S1_TOP20(#6),S3_모멘텀,S5_MA200우상향",stop_loss,-406249.19999999966,-6.999999999999995,1
000520,삼일제약,2026-01-26,2026-02-04,9540.0,11925.0,850,"S3_모멘텀,S5_MA200우상향",target_25,2027250.0,25.0,9
000320,노루홀딩스,2026-02-03,2026-02-05,21950.0,25242.499999999996,383,"S3_모멘텀,S5_MA200우상향",target_15,1261027.4999999986,14.999999999999982,2
000490,대동,2026-02-03,2026-02-05,10560.0,13200.0,717,"S3_모멘텀,S5_MA200우상향",target_25,1892880.0,25.0,2
009830,한화솔루션,2026-02-04,2026-02-05,36450.0,33898.5,164,"S1_TOP20(#7),S3_모멘텀,S4_2000억돌파,S5_MA200우상향",stop_loss,-418446.0,-7.000000000000001,1
004140,동방,2026-01-30,2026-02-06,2645.0,2459.85,2209,"S3_모멘텀,S5_MA200우상향",stop_loss,-408996.3500000002,-7.0000000000000036,7
