종목코드,종목명,시장,현재가,거래대금(억),충족전략수,우선순위,전략1_거래대금TOP20,순위,전략2_턴어라운드,52주고가대비,전략3_모멘텀,거래량비율,전략4_2000억돌파,전략5_MA200우상향,MA200기울기
035510,신세계,KOSPI,25450.0,2205.663443,4,15,✅,14,,-13.1%,✅,11.4x,✅,✅,3.0%
047040,대우건설,KOSPI,14520.0,8908.9054296,4,14,✅,3,✅,-3.5%,✅,2.2x,,✅,14.6%
032820,우리기술,KOSDAQ,25950.0,5997.7448715,3,11,✅,5,✅,-3.2%,,0.7x,,✅,38.0%
000660,하이닉스,KOSPI,1006000.0,14492.61708,3,11,✅,2,✅,-8.5%,,0.3x,,✅,17.1%
005930,삼성전자,KOSPI,204250.0,24229.4891775,3,11,✅,1,✅,-8.4%,,0.4x,,✅,14.5%
005935,삼성전자우,KOSPI,146100.0,3822.054894,3,11,✅,8,✅,-2.6%,,0.4x,,✅,12.1%
009150,삼성전기,KOSPI,455000.0,1819.10365,3,11,✅,19,✅,-4.0%,,0.4x,,✅,14.3%
011930,신성이엔지,KOSPI,3045.0,2696.20928745,3,11,✅,10,✅,-1.5%,,3.3x,,✅,5.1%
034020,두산에너빌리티,KOSPI,107200.0,2659.357568,3,11,✅,11,✅,-3.2%,,0.3x,,✅,9.9%
091160,반도체,KOSPI,102680.0,2161.0125212,3,11,✅,15,✅,-4.7%,,0.4x,,✅,13.1%
229200,코스닥150,KOSPI,20110.0,1896.9929913,3,11,✅,18,✅,-7.4%,,0.2x,,✅,5.4%
396500,반도체TOP10,KOSPI,34210.0,2641.5343867,3,11,✅,12,✅,-6.5%,,0.3x,,✅,14.1%
090710,휴림로봇,KOSDAQ,14790.0,3940.3918809,3,10,✅,7,,-44.4%,✅,2.3x,,✅,21.1%
241770,메카로,KOSDAQ,34600.0,0.0,3,9,,,✅,-1.1%,✅,2.3x,,✅,8.4%
393890,더블유씨피,KOSDAQ,14150.0,0.0,3,9,,,✅,-3.3%,✅,3.2x,,✅,2.0%
445680,큐리옥스바이오시스템즈,KOSDAQ,130300.0,0.0,3,9,,,✅,-2.0%,✅,2.7x,,✅,11.9%
471040,글로벌AI,KOSPI,25360.0,0.0,3,9,,,✅,0.0%,✅,2.1x,,✅,5.6%
459580,금리액티브,KOSPI,1074617.0,1732.00320358,2,9,✅,20,✅,-0.0%,,0.5x,,,0.2%
001510,증권,KOSPI,1906.0,1994.92587856,2,7,✅,17,,-19.2%,,1.0x,,✅,18.6%
